id	parent_id	scientific_name	rank	extinct	english_label	wikidata_id	wikipedia_url	source_id
73P2T	7PKGM	Monocorophium sextonae	species	false	Monocorophium sextonae	Q13860969	https://en.wikipedia.org/wiki/Monocorophium_sextonae	1202
73P98	BJ5VF	Monochamus flavosignatus	species	false	Monochamus flavosignatus	Q14704619	https://en.wikipedia.org/wiki/Monochamus_flavosignatus	1032
73P9G	92FZ3	Monochroa quinquepunctella	species	false	Monochroa quinquepunctella	Q13860951	https://en.wikipedia.org/wiki/Monochroa_quinquepunctella	2362
73P9R	BJ5VF	Monochamus titillator	species	false	Monochamus titillator	Q14704706	https://en.wikipedia.org/wiki/Monochamus_titillator	1032
73P9S	BJ5VF	Monochamus subtriangularis	species	false	Monochamus subtriangularis	Q14704671	https://en.wikipedia.org/wiki/Monochamus_subtriangularis	1032
73P9V	BJ5VF	Monochamus saltuarius	species	false	Monochamus saltuarius	Q4477626	https://en.wikipedia.org/wiki/Monochamus_saltuarius	1032
73PGS	5V9B	Mormopterus phrudus	species	false	Incan little mastiff bat	Q1831588	https://en.wikipedia.org/wiki/Incan_little_mastiff_bat	2144
73PGT	5V9B	Mormopterus minutus	species	false	Little Goblin Bat	Q1834052	https://en.wikipedia.org/wiki/Little_goblin_bat	2144
73PGZ	5V99	Mormoops blainvillei	species	false	Antillean ghost-faced bat	Q593221	https://en.wikipedia.org/wiki/Antillean_ghost-faced_bat	2144
73PH7	5V9B	Mormopterus jugularis	species	false	Peter's wrinkle-lipped bat	Q1831478	https://en.wikipedia.org/wiki/Peters%27s_wrinkle-lipped_bat	2144
73PH8	5V9B	Mormopterus doriae	species	false	Sumatran Mastiff Bat	Q1831464	https://en.wikipedia.org/wiki/Sumatran_mastiff_bat	2144
73PPB	8KX9K	Morion monilicornis	species	false	Morion monilicornis	Q13862397	https://en.wikipedia.org/wiki/Morion_monilicornis	1146
73PQ6	BJC8Y	Morimus indicus	species	false	Morimus indicus	Q14826256	https://en.wikipedia.org/wiki/Morimus_indicus	1032
73PR9	92FZN	Monortha illaqueata	species	false	Monortha illaqueata	Q13861663	https://en.wikipedia.org/wiki/Monortha_illaqueata	219318
73PSS	7P97Y	Monstrotyphis jardinreinensis	species	false	Monstrotyphis jardinreinensis	Q6902947	https://en.wikipedia.org/wiki/Monstrotyphis_jardinreinensis	1130
73PT4	7P97Y	Monstrotyphis montfortii	species	false	Monstrotyphis montfortii	Q10794619	https://en.wikipedia.org/wiki/Monstrotyphis_montfortii	1130
73PY6	63CZN	Monticola brevipes	species	false	Short-toed Rock Thrush	Q285855	https://en.wikipedia.org/wiki/Short-toed_rock_thrush	2144
73PZ9	63CSW	Monomorium taprobanae	species	false	Monomorium taprobanae	Q13861567	https://en.wikipedia.org/wiki/Monomorium_taprobanae	54937
73PZC	63CSW	Monomorium subopacum	species	false	Monomorium subopacum	Q13861557	https://en.wikipedia.org/wiki/Monomorium_subopacum	54937
73Q26	BJC8Y	Morimus lethalis	species	false	Morimus lethalis	Q14826258	https://en.wikipedia.org/wiki/Morimus_lethalis	1032
73Q2X	92FZN	Monortha pleodontia	species	false	Monortha pleodontia	Q13861664	https://en.wikipedia.org/wiki/Monortha_pleodontia	219318
73Q4S	7P97Y	Monstrotyphis pauperis	species	false	Monstrotyphis pauperis	Q3140181	https://en.wikipedia.org/wiki/Monstrotyphis_pauperis	1130
73Q54	7P97Y	Monstrotyphis singularis	species	false	Monstrotyphis singularis	Q6902953	https://en.wikipedia.org/wiki/Monstrotyphis_singularis	1130
73Q7N	BJC8M	Montesia bosqi	species	false	Montesia bosqi	Q14826463	https://en.wikipedia.org/wiki/Montesia_bosqi	1032
73Q7P	63CY8	Montescardia tessulatellus	species	false	Montescardia tessulatella	Q8365645	https://en.wikipedia.org/wiki/Montescardia_tessulatella	1031
73QB7	63D69	Monopis pavlovskii	species	false	Monopis pavlovskii	Q13483824	https://en.wikipedia.org/wiki/Monopis_pavlovskii	1031
73QB8	63D69	Monopis longella	species	false	Monopis longella	Q6901832	https://en.wikipedia.org/wiki/Monopis_longella	1031
73QBG	63D69	Monopis fenestratella	species	false	Monopis fenestratella	Q13483780	https://en.wikipedia.org/wiki/Monopis_fenestratella	1031
73QBH	63D69	Monopis dorsistrigella	species	false	Monopis dorsistrigella	Q13483781	https://en.wikipedia.org/wiki/Monopis_dorsistrigella	1031
